,Zone,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),ratio_evol_pop,ratio_protein_anim,Pib_par_habitant_2017,pib_par_habitant_2018,Importations Valeur 2017,Importations Valeur 2018,Exportations Valeur 2017 usd,Exportations Valeur 2018 usd,Groupe
3,Arabie saoudite,43484.24238805978,1513.0932215677387,30.2,51.8,20905391689.0,23319887191.0,17495000.0,19146000.0,12897000.0,7157000.0,3
5,Autriche,40398.884975124434,240.08804259175332,6.6,53.6,47887174380.000015,52047260459.0,32714000.0,36944000.0,13086000.0,15975000.0,3
7,Belgique,44544.25094527369,2041.0666107838688,6.5,56.1,44118925664.0,47225757205.0,207538000.0,213538000.0,120048000.0,161248000.0,3
12,Burkina Faso,16335.625472636817,-159.91195740824645,34.5,72.8,738274757.0,820166756.0,233000.0,384000.0,135000.0,75000.0,4
14,Canada,50578.42965174137,3010.512505663797,11.2,54.7,45057287226.0,46343371942.000015,52627000.0,57158000.0,19362000.0,17225000.0,3
19,Côte d'Ivoire,20907.17014925374,1886.0725056637966,27.9,65.6,1570209075.9999998,1727629023.9999998,3825000.0,3873000.0,2000.0,29925500.0,4
20,Danemark,38144.34029850752,848.3766107838693,4.6,54.9,57454289221.000015,61809750887.0,9861000.0,9978000.0,83462000.0,96685000.0,3
25,Finlande,36133.42965174135,-109.91195740824648,3.8,54.6,46180408610.000015,49955341172.0,1212000.0,1626000.0,53000.0,1573000.0,3
26,France,93271.47860696519,11235.062147711826,4.5,47.2,38566566085.000015,41168651446.0,26061000.0,29312000.0,169977000.0,220354000.0,3
28,Ghana,46555.33174129362,1411.0828636157676,26.3,52.9,2046043362.0,2224259481.0,8247000.0,8903000.0,2000.0,5000.0,4
38,Iraq,42002.24238805978,1477.1035795197095,35.4,54.8,4980948425.0,5395860191.0,2092000.0,2069000.0,570000.0,59000.0,4
39,Irlande,43088.0636815921,773.2621477118257,9.1,59.1,70492921726.0,79661622685.00003,6194000.0,7219000.0,12208000.0,14478000.0,3
40,Israël,38481.0636815921,376.07250566379685,19.4,55.4,42450331893.0,43841825316.0,8221000.0,4030000.0,32000.0,29925500.0,3
41,Italie,52696.6573134329,496.07250566379685,2.9,52.9,33049354269.000008,35163573799.0,14882000.0,18280000.0,8492000.0,8597000.0,3
42,Japon,48969.884975124434,559.0725056637968,-1.0,51.3,38121908661.0,39087235938.0,7082000.0,9035000.0,7000.0,29925500.0,3
43,Jordanie,43583.55940298516,267.0880425917534,52.0,53.8,4195802289.0,4264118559.000001,6345000.0,5998000.0,1570000.0,2588000.0,4
45,Kenya,28272.210547263705,2147.1373266878118,29.2,60.2,1584659911.0,1725302553.9999998,732000.0,2394000.0,764000.0,462000.0,4
46,Koweït,47716.73810945283,392.09840054372427,55.8,51.4,28897241961.0,33760739169.0,5836000.0,8802000.0,90000.0,116000.0,4
48,Liban,41211.69771144286,211.093221567739,44.0,55.5,8778471832.0,9257297212.000002,5989000.0,6028000.0,0.0,0.0,4
50,Luxembourg,46651.193432835906,260.0776846397825,24.5,51.4,110003247419.0,120137955478.0,418000.0,434000.0,370000.0,328000.0,3
51,Madagascar,19129.25950248757,211.0880425917535,31.3,68.5,515285585.0,527386601.0,826000.0,1109000.0,42000.0,81000.0,4
53,Malawi,18654.17014925374,3548.082863615768,32.2,72.1,340870048.0,375490370.00000006,1111000.0,1719000.0,109000.0,29925500.0,4
54,Mali,45554.33174129362,1621.1087584956952,35.2,52.5,829238323.0,898685408.9999998,4237000.0,2662000.0,2157000.0,3000.0,4
61,Oman,48849.28278606974,371.0673266878114,75.6,49.9,17099281186.0,19070911771.0,3025000.0,3188000.0,66000.0,58000.0,4
62,Ouganda,20848.17014925374,-103.92749433620298,40.4,65.7,634769133.0,679867190.0,3571000.0,6054000.0,12000.0,29000.0,4
71,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,53222.51900497518,3684.0569687358397,8.0,49.0,40286571861.000015,42889386317.000015,39531000.0,49859000.0,136834000.0,155604000.0,3
72,Rwanda,15730.397810945271,7.082863615767819,29.2,75.9,748350053.0,760729801.0,754000.0,1053000.0,3000.0,95000.0,4
73,République de Corée,46526.69771144286,-471.92749433620315,4.0,55.0,31852314810.000008,33626657541.0,22636000.0,11095000.0,68000.0,66000.0,3
76,République-Unie de Tanzanie,46839.470049751326,2512.072505663797,34.5,52.7,954877401.0,994447217.0,2076000.0,3317000.0,350000.0,1000.0,4
81,Suisse,37664.20199004981,464.09322156773885,11.8,56.1,80220632483.00003,82530174862.0,2515000.0,2204000.0,832000.0,728000.0,3
83,Suède,40565.74666666673,828.0569687358403,8.0,54.5,54541574444.000015,55704968354.0,5366000.0,5414000.0,14212000.0,15026000.0,3
84,Sénégal,16491.625472636817,667.0569687358404,32.1,74.0,1321086286.9999998,1461174722.0,716000.0,1261000.0,129000.0,9000.0,4
90,Zambie,19803.39781094528,897.0621477118259,35.0,67.4,1513276090.0,1549354235.0,3498000.0,4410000.0,3863000.0,5412000.0,4
93,Émirats arabes unis,45593.10407960208,561.0776846397823,35.8,52.2,40180344045.0,43407635143.0,2297000.0,2141000.0,1012000.0,793000.0,3
94,États-Unis d'Amérique,201331.7956218904,4139.062147711827,7.8,35.7,60159823416.999985,62981386955.999985,8580000.0,10021000.0,190166000.0,204224000.0,3
95,Éthiopie,20578.17014925374,1917.0932215677387,31.7,67.5,731580209.0,746664248.0,91000.0,24263484.536082476,25077970.0,0.0,4
