Zone,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),ratio_evol_pop,ratio_protein_anim,Pib_par_habitant_2017,pib_par_habitant_2018,Importations Valeur 2017,Importations Valeur 2018,Exportations Valeur 2017 usd,Exportations Valeur 2018 usd,Cluster,F1,F2
Burkina Faso,16335.625472636817,-159.91195740824645,34.5,72.8,738274757.0,820166756.0,233000.0,384000.0,135000.0,75000.0,4,-1.5060241119670335,-1.4652207261466954
Côte d'Ivoire,20907.17014925374,1886.0725056637966,27.9,65.6,1570209075.9999998,1727629023.9999998,3825000.0,3873000.0,2000.0,29925500.0,4,-1.1280080146672855,-0.8565457601312627
Ghana,46555.33174129362,1411.0828636157676,26.3,52.9,2046043362.0,2224259481.0,8247000.0,8903000.0,2000.0,5000.0,4,-1.0791437870622937,-0.09390896721093243
Iraq,42002.24238805978,1477.1035795197095,35.4,54.8,4980948425.0,5395860191.0,2092000.0,2069000.0,570000.0,59000.0,4,-1.165357679279865,-0.3158152756782678
Jordanie,43583.55940298516,267.0880425917534,52.0,53.8,4195802289.0,4264118559.000001,6345000.0,5998000.0,1570000.0,2588000.0,4,-1.3139009488735658,-0.4856103541670431
Kenya,28272.210547263705,2147.1373266878118,29.2,60.2,1584659911.0,1725302553.9999998,732000.0,2394000.0,764000.0,462000.0,4,-1.2574544149660518,-0.5199913947648203
Koweït,47716.73810945283,392.09840054372427,55.8,51.4,28897241961.0,33760739169.0,5836000.0,8802000.0,90000.0,116000.0,4,-0.5498853328525309,-0.8049992945383453
Liban,41211.69771144286,211.093221567739,44.0,55.5,8778471832.0,9257297212.000002,5989000.0,6028000.0,0.0,0.0,4,-1.1344831366637838,-0.617784587428567
Madagascar,19129.25950248757,211.0880425917535,31.3,68.5,515285585.0,527386601.0,826000.0,1109000.0,42000.0,81000.0,4,-1.4330797477519481,-1.1809093728566225
Malawi,18654.17014925374,3548.082863615768,32.2,72.1,340870048.0,375490370.00000006,1111000.0,1719000.0,109000.0,29925500.0,4,-1.2524313073550717,-0.9979533873851091
Mali,45554.33174129362,1621.1087584956952,35.2,52.5,829238323.0,898685408.9999998,4237000.0,2662000.0,2157000.0,3000.0,4,-1.2416143482142574,-0.09153256388307209
Oman,48849.28278606974,371.0673266878114,75.6,49.9,17099281186.0,19070911771.0,3025000.0,3188000.0,66000.0,58000.0,4,-1.1655626185217838,-0.6309901930291796
Ouganda,20848.17014925374,-103.92749433620298,40.4,65.7,634769133.0,679867190.0,3571000.0,6054000.0,12000.0,29000.0,4,-1.4663391131553163,-1.1416617666075217
Rwanda,15730.397810945271,7.082863615767819,29.2,75.9,748350053.0,760729801.0,754000.0,1053000.0,3000.0,95000.0,4,-1.4671243210509664,-1.5585515855923682
République-Unie de Tanzanie,46839.470049751326,2512.072505663797,34.5,52.7,954877401.0,994447217.0,2076000.0,3317000.0,350000.0,1000.0,4,-1.2316934541913334,0.010392295144033177
Sénégal,16491.625472636817,667.0569687358404,32.1,74.0,1321086286.9999998,1461174722.0,716000.0,1261000.0,129000.0,9000.0,4,-1.4505138779753417,-1.4260102054558559
Zambie,19803.39781094528,897.0621477118259,35.0,67.4,1513276090.0,1549354235.0,3498000.0,4410000.0,3863000.0,5412000.0,4,-1.341188530484283,-1.099540477151849
Éthiopie,20578.17014925374,1917.0932215677387,31.7,67.5,731580209.0,746664248.0,91000.0,24263484.536082476,25077970.0,0.0,4,-1.1396220760064861,-0.9694858225102005
